item_number,material_class,composition_formula,hydrogen_weight_percent,heat_of_formation,temperature,Temp,pressure,author_year,reference_number,comment1,comment2,comment3
474,AB2,TiV2-yFey,1.9,,,,,"Jacob, 1981",459,(y = 0.2-0.8),,
475,AB2,TiV2-yMny,2.2,,,,,"Jacob, 1981",459,(y = 0.4-1),,
478,AB2,TmFe2,1.1,,,,,"Burnasheva, 1979",519,,,
479,AB2,TmFe2,1.5,,,,,"Gualtieri, 1976",516,,,
481,AB2,TmNi2,1.25,,,,,"Burnasheva, 1979",519,,,
482,AB2,TmNiAl,0.6,,,,,"Kolomiets, 1997",825,,,
483,AB2,UMn2,0.16,,,,,"Beck, 1962",45,,,
487,AB2,UZr2,1.5,,,,,"Asada, 1995",628,,,
488,AB2,YbNi2,,,,,,"Ensslen, 1983",385,,,
489,AB2,YCo2,1.7,,,,,"Burnasheva, 1979",519,,,
491,AB2,YCo2,2,,,,,"van Essen, 1980",355,,,
493,AB2,YFe1.8Co.2,2,,,,,"Fujii, 1983",59,,,
494,AB2,YFe2,,,,,,"Beck, 1962",45,,,
495,AB2,YFe2,1.7,,,,,"Burnasheva, 1977",520,,,
496,AB2,YFe2,1.8,,,,,"Fujii, 1983",59,,,
497,AB2,YFe2,2,,,,,"Buschow, 1975",518,,,
498,AB2,YFe2,2,,,,,"Buschow, 1976",685,,,
500,AB2,YFe2,2.1,,,,,"van Mal, 1976",360,,,
501,AB2,YFe2,,,,,,"Paul-Boncour, 2001",1279,,P=10 kbars,
505,AB2,YMg2,2.3,,,,,"Kost, 1979",515,,,
506,AB2,YMn2,1.7,,,,,"van Mal, 1976",360,,,
507,AB2,YMn2,2.1,,,,,"Przewoznik, 1996",525,,,
508,AB2,YMn2,2.2,,,,,"Latroche, 1998",1243,,,
509,AB2,YNi2,,,,,,"Beck, 1962",45,,,
510,AB2,YNi2,1.7,,,,,"van Essen, 1980",355,,,
512,AB2,YNi2,1.8,,,,,"Burnasheva, 1977",520,,,
513,AB2,YNi2,1.8,,,,,"Nakhl, 2001",1277,,,
514,AB2,YNiAl,0.7,,,,,"Kolomiets, 1997",651,,,
515,AB2,YNiAl,0.7,,,,,"Kolomiets, 1997",825,,,
516,AB2,YRu2,1.1,,200,473.15,,"Shaltiel, 1977",14,,,
519,AB2,Zr(Cr1-yMo)y,1.4,,,,,"Bououdina, 2000",1287,y=0-0.5,,
521,AB2,Zr(Cr1-yVy)2,1.9,,,,,"Perevesenzew, 1988",557,(y=0.2-0.4),,
522,AB2,Zr(CryCu1-.5yNi1-.5y)2,1.4,,,,,"Soubeyroux, 1995",623,(y=0.6-0.9),,
536,AB2,Zr(Ni.6V.4)2.4,1.6,,,,,"Gao, 1996",586,,,
538,AB2,Zr(V1-xCrx)2,,,,,,"Mendelsohn, 1981",21,,,
554,AB2,Zr.75Ti.25V1.7Fe.3,1.5,,,,,"Jacob, 1981",459,,,
570,AB2,ZrCrNi,1.3,,,,,"Visintin, 2001",1291,,at 80C,No plateau
582,AB2,ZrFe2,0,,,,,"Padurets, 1978",513,,,
583,AB2,ZrFe2,0.1,,,,,"Shaltiel, 1977",14,,,
584,AB2,ZrFe2,0.1,,,,,"Semenenko, 1980",638,,,
585,AB2,ZrFe2,0.15,,,,,"Pebler, 1967",13,,,
613,AB2,ZrMn2,0.45,,,,,"Pebler, 1967",13,,,
614,AB2,ZrMn2,1,,,,,"Beck, 1962",45,,,
617,AB2,ZrMn2,1.5,,,,,"Padurets, 1978",513,,,
620,AB2,ZrMn2,1.9,,,,,"Jacob, 1980",65,,,
648,AB2,ZrMo2,0.3,,,,,"Beck, 1962",45,,,
649,AB2,ZrMo2,0.4,,,,,"Shaltiel, 1977",14,,,
650,AB2,ZrMo2,0.5,,,,,"Semenenko, 1980",638,,,
651,AB2,ErCo2,1.3,,,,,"Gualtieri, 1977",50,,,
652,AB2,ErFe2,1.1,,,,,"Burnasheva, 1979",519,,,
653,AB2,ErFe2,1.4,,,,,"Gualtieri, 1976",516,,,
654,AB2,ErFe2,1.4,,,,,"Gualtieri, 1977",50,,,
657,AB2,ErFe2,,,,,,"Paul-Boncour, 2001",1279,,P=10 kbars,
660,AB2,ErFe2-yAly,1.2,,,,,"Gualtieri, 1977",50,(y = 0-0.6),,
661,AB2,ErFe2-yCoy,1.3,,,,,"Gualtieri, 1977",50,(y = 0-2),,
662,AB2,ErFe2-yMny,1.4,,,,,"Gualtieri, 1977",50,(y = 0-1.4),,
663,AB2,ErFe2-yMny,,,,,,"Sankar, 1977",683,y=0.4-1.0,,
664,AB2,ErFe2-yNiy,1.3,,,,,"Gualtieri, 1977",50,(y = 0-1.2),,
666,AB2,ErNi2,0.9,,,,,"Gualtieri, 1977",50,,,
667,AB2,ErNi2,0.9,,,,,"Ensslen, 1983",385,,,
668,AB2,ErNi2,1.2,,,,,"Burnasheva, 1979",519,,,
669,AB2,ErNi2,1.5,,,,,"Kost, 1979",515,,,
670,AB2,ErNiAl,0.6,,,,,"Kolomiets, 1997",651,,,
671,AB2,ErNiAl,0.6,,,,,"Kolomiets, 1997",825,,,
672,AB2,GdCo2,,,,,,"Beck, 1962",45,,,
673,AB2,GdCo2,1,,,,,"Mushnikov, 1999",1257,,,
674,AB2,GdCo2,1.4,,,,,"Burnasheva, 1979",519,,,
677,AB2,GdCo2,1.6,,,,,"Shaltiel, 1977",14,,,
679,AB2,GdFe2,,,,,,"Beck, 1962",45,,,
680,AB2,GdFe2,1.5,,,,,"Buschow, 1975",518,,,
684,AB2,GdMn2,0,,,,,"Beck, 1962",45,,,
686,AB2,GdMn2,1.6,,,,,"Przewoznik, 1996",525,,,
687,AB2,GdNi2,1.3,,,,,"Burnasheva, 1977",520,,,
688,AB2,GdNi2,1.4,,,,,"Malik, 1977",514,,,
690,AB2,GdNiAl,0.6,,,,,"Kolomiets, 1997",651,,,
691,AB2,GdNiAl,0.6,,,,,"Kolomiets, 1997",825,,,
697,AB2,Hf.57Ti.43Ni1.7V.3,0.8,,,,,"Ronnebro, 1995",617,,,
698,AB2,HfBe2,0.56,,,,,"Maeland, 1983",362,,,
699,AB2,HfCr2,1.2,,,,,"Mukai, 1999",1230,,,No plateau
700,AB2,HfMn2,0.7,,,,,"Mukai, 1999",1230,,,No plateau
701,AB2,HfMo2,0.2,,,,,"Mukai, 1999",1230,,,No plateau
702,AB2,HfTi2,2.1,,,,,"Kozhanov, 1998",1240,,,
703,AB2,HfV2,0.9,,,,,"Mukai, 1999",1230,,,No plateau
704,AB2,HfV2,1,,,,,"Kemali, 1995",405,,,
705,AB2,HfV2,1.1,,,,,"Beck, 1962",45,,,
712,AB2,HoCo2,1.3,,,,,"Burnasheva, 1979",519,,,
713,AB2,HoFe2,1.3,,,,,"Burnasheva, 1979",519,,,
714,AB2,HoFe2,1.6,,,,,"Gualtieri, 1976",516,,,
715,AB2,HoNi2,1.3,,,,,"Burnasheva, 1979",519,,,
717,AB2,La1-xMgxNi2,1.2,,,,,"Oesterreicher, 1980",364,(x = 0.25-0.67),,
718,AB2,LaAl2,0.05,,,,,"Shaltiel, 1978",66,,,
719,AB2,LaCo2,1.5,,,,,"Burnasheva, 1979",519,,,
720,AB2,LaMg2,2.1,,,,,"Shaltiel, 1978",66,,,
721,AB2,LaMg2,3.3,,,,,"Kost, 1979",515,,,
722,AB2,LaMg2,3.6,,,,,"Gingl, 1997",650,,,
724,AB2,LaNi2,1.1,,,,,"Guidotti, 1977",105,,,
725,AB2,LaNi2,1.6,,,,,"Mikheeva, 1978",535,,,
726,AB2,LaNi2,1.7,,,,,"Oesterreicher, 1980",364,,,
727,AB2,LaNi2,1.7,,,,,"Oesterreicher, 1976",524,,,
728,AB2,LaNi2,1.8,,,,,"Kost, 1979",515,,,
730,AB2,LaPt2,,,,,,"Shaltiel, 1977",14,,,
733,AB2,LaRu2,1.3,,200,473.15,,"Shaltiel, 1977",14,,,
735,AB2,LuFe2,1.4,,,,,"Buschow, 1980",56,,,
736,AB2,LuNi2,0.85,,,,,"Burnasheva, 1979",519,,,
737,AB2,LuNi2,0.9,,,,,"Ensslen, 1983",385,,,
738,AB2,LuNi2,1.4,,,,,"Buschow, 1980",56,,,
739,AB2,LuNiAl,0.4,,,,,"Kolomiets, 1997",651,,,
740,AB2,MgCu2,0,,,,,"Reilly, 1967",87,,,
741,AB2,MgNi2,0,,,,,"Reilly, 1968",88,,,
743,AB2,MmCo2,1.1,,,,,"Guidotti, 1977",105,,,
745,AB2,NdCo2,1.4,,,,,"Burnasheva, 1979",519,,,
746,AB2,NdFe2,1.1,,,,,"Burnasheva, 1977",520,,,
747,AB2,NdMg2,2.05,,,,,"Shaltiel, 1978",66,,,
748,AB2,NdNi2,1.3,,,,,"Burnasheva, 1977",520,,,
762,AB2,Ti.9Zr.1Cr1.8,3.4,,,,,"Verbetsky, 1999",1281,,at -77C,No plateau
791,AB2,Ti1-xZrxV1.7Fe.3,2.8,,,,,"Jacob, 1981",459,(x = 0.3-0.5),,
793,AB2,TiCo2,,,,,,"Shaltiel, 1978",66,,,
794,AB2,TiCr1.2V.8,3.4,,,,,"Jacob, 1981",459,,,
795,AB2,TiCr1.4V.6,2.3,,,,,"Jacob, 1981",459,,,
796,AB2,TiCr1.7Fe.1,3.2,,,,,"Verbetsky, 1999",1281,,at -78C,No plateau
802,AB2,TiCr2,0.4,,,,,"Beck, 1962",45,,,
804,AB2,TiCr2,1.3,,,,,"Jacob, 1980",65,,,
807,AB2,TiCr2,1.8,,,,,"Padurets, 1982",498,,,
812,AB2,TiFe2,0,,,,,"Semenenko, 1982",532,,,
832,AB2,TiMn2,0.06,,,,,"Jacob, 1980",65,,,
838,AB2,TiV1.2Cr.4Fe.4,1,,25 - 410,,,"Sakuma, 1995",859,,,
864,AB2,Zr.8V.2Mn.6Ni1.4,0.2,,,,,"Hsu, 2000",1276,,,No plateau
872,AB2,Zr.9Ti.1CrNi,2,,,,,"Visintin, 2001",1291,,at 60C,No plateau
881,AB2,Zr1-2xMmxTixFe1.4Cr.6,1.35,,,,,"Davidson, 2001",1288,x=0.05-0.2,,No plateaux
882,AB2,Zr1-xMmxFe1.4Cr.6,1.4,,,,,"Davidson, 2001",1288,x=0.05-0.2,,No plateaux
897,AB2,ZrCo1.5Mo.5,0.1,,,,,"Semenenko, 1980",638,,,
899,AB2,ZrCo2,,,,,,"Pebler, 1967",13,,,
900,AB2,ZrCo2,0.1,,,,,"Padurets, 1978",513,,,
901,AB2,ZrCo2,0.16,,,,,"Shaltiel, 1977",14,,,
905,AB2,ZrCoV1-yCry,1.1,,,,,"Soubeyroux, 1999",1261,y=0-1,,
913,AB2,ZrCr2,1.8,,,,,"Beck, 1962",45,,,
916,AB2,ZrCr2,1.8,,,,,"Trzeciak, 1956",483,,,
917,AB2,ZrCr2,1.9,,,,,"Padurets, 1978",513,,,
918,AB2,ZrCr2,1.9,,,,,"Kohlmann, 1999",1253,,,
919,AB2,ZrCr2,1.9,,,,,"Irodova, 2000",1268,,Deuterium,
920,AB2,ZrCr2,2,,,,,"Shaltiel, 1977",14,,,
921,AB2,ZrCr2,2.1,,,,,"Jacob, 1980",65,,,
922,AB2,ZrCr2,2.1,,,,,"Semenenko, 1980",638,,,
930,AB2,ZrNi1.4+yMn.3V.7,0.6,,30,303.15,,"Kim, 1998",857,y=0-0.6,,
934,AB2,ZrTi2,2,,,,,"Skripov, 2000",1274,,deuterium,
937,AB2,ZrV2,2.1,,,,,"Beck, 1962",45,,,
938,AB2,ZrV2,2.1,,,,,"Trzeciak, 1956",483,,,
940,AB2,ZrV2,2.7,,,,,"Padurets, 1978",513,,,
942,AB2,ZrxTi1-x(FeyMn1-y)1.5,0.8,,,,,"Suzuki, 1982",26,(x & y = 0.2-0.8),,
943,AB2,ZrxTi1-xCr2,1.3,,,,,"Jacob, 1980",65,(x = 0-1),,
944,AB2,ZrxTi1-xMn2,0.06,,,,,"Jacob, 1980",65,(x = 0-1),,
981,AB5,CeCo5,0.65,,,,,"Guidotti, 1977",105,,,
986,AB5,CeMn2.56Ni2.42,1,,,,,"Burnasheva, 1981",1530,,,
987,AB5,CeMn3Ni2,0.7,,,,,"Burnasheva, 1981",1530,,,
995,AB5,CFMNi4.3-yCoyMn.4Al.3,1.1,,,,,"Reilly, 1999",1232,y=0 & 0.75 (CFM=cerium-free Mm),,
1008,AB5,GdNi5-yAly,0.3,,,,,"Bobet, 1998",814,y=2.01-3.07,,
1019,AB5,LaNi4.3-yCoyMn.4Al.3,1.2,,,,,"Reilly, 1999",1232,y=0-0.75,,
1088,AB5,LaNi4Al,1,,,,,"Yartys, 1982",1519,,Deuterium,
1152,AB5,MmNi4.3-yCoyMn.4Al.3,0.9,,,,,"Reilly, 1999",1232,y=0 & 0.75,,
1247,AB5,LaCo5,1.1,,,,,"Guidotti, 1977",105,,,
1266,AB5,LaNi3.85-yCo.75Mn.4Al.y,1.2,,,,,"Reilly, 1999",1232,y=0-0.2,,
1270,AB5,LaNi3.95-yCo.75MnyAl.3,1.1,,,,,"Reilly, 1999",1232,y=0-0.4,,
1295,AB5,LaNi5,1.8,,,,,"Verbetsky, 1984",1150,,70 atm @ -140C,
1326,AB5,LmNi3.6Al0.4Co0.7Mn0.3,1.3,,,,,"Park, 2002",1515,Lm=La-rich Mm,,No plateau
1368,AB5,NdCo5,0.8,,,,,"Gualtieri, 1978",448,,,
1369,AB5,NdCo5,0.9,,,,,"Guidotti, 1977",105,,,
1380,AB5,NdNi5-yAly,0.3,,,,,"Bobet, 1998",814,y=1.89-2.97,,
1385,AB5,PrCo5,0.85,,,,,"Guidotti, 1977",105,,,
1387,AB5,PrCo5 (M),1.1,,,,,"Yamamoto, 2002",1511,,,
1404,AB5,ThFe5,0.3,,,,,"Gubbens, 1984",669,,,
1405,AB5,ThFe5,0.5,,,,,"Buschow, 1975",187,,,
1407,AB5,ThNi5,0.6,,,,,"Buschow, 1975",187,,,
1408,AB5,ThNi5,0.87,,,,,"Takeshita, 1981",128,,,
1420,AB5,YNi5-yAly,0.6,,,,,"Sorgic, 1998",812,y=1.5-2,,
1424,Complex,Al(BH4)3,16.9,,,,,"Rulon, 1951",799,[BH4]-,,
1425,Complex,Al(BH4)3,16.9,,,,,"Schlesinger, 1953",802,[BH4]-,,
1427,Complex,Ba2MgH6,2,,,,,"Kadir, 1993",748,[MgH6],,
1428,Complex,Ba2OsH6,1.3,,,,,"Kritikos, 1991",745,[OsH6]4-,,
1429,Complex,Ba2PtH6,1.3,,,,,"Kadir, 1993",747,,,
1430,Complex,Ba2RuH6,1.6,,,,,"Kritikos, 1991",745,[RuH6]4-,,
1431,Complex,Ba3Ir2H12,1.5,,,,,"Kadir, 1994",749,[IrH6]3-,,
1432,Complex,BaMg2OsH8,2.1,,,,,"Huang, 1997",832,[OsH6]4-,,
1433,Complex,BaMg2RuH8,2.7,,,,,"Huang, 1997",832,[RuH6]4-,,
1434,Complex,BaMgH4,2.4,,,,,"Gingl, 1997",833,,,
1436,Complex,Be(AlH4)2,11.3,,,,,"Monnier, 1957",791,[AlH4]-,,
1438,Complex,Be(BH4)2,20.8,,,,,"Schlesinger, 1953",802,[BH4]-,,
1440,Complex,Ca(AlH4)2,7.9,,,,,"Mackay, 1966",754,[AlH4]-,,
1442,Complex,Ca(BH4)2,11.6,,,,,"Kollonitsch, 1954",796,[BH4]-,,
1443,Complex,Ca2FeH6,4.3,,,,,"Huang, 1991",740,[FeH6]4-,,
1447,Complex,Mg2FeH6,5.2,,,,,"Bogdanovic’, 2002",1462,[FeH6]4-,Measured H-content,
1449,Complex,Mg2FeH6,5.5,,,,,"Lindberg, 1986",742,[FeH6]4-,,
1452,Complex,Mg2FeH6,5.5,,,,,"Gennari, 2002",1460,[FeH6]4-,"Theoretical H-content, sample contained MgH2",
1455,Complex,Mg2NiH6,3.6,,,,,"Lindberg, 1986",742,[NiH4]4-,,
1456,Complex,Mg2OsH6,2.5,,,,,"Huang, 1991",740,[OsH6]4-,,
1457,Complex,Mg2OsH6,2.5,,,,,"Kritikos, 1990",743,[OsH6]4-,,
1459,Complex,Mg2RuH6,3.9,,,,,"Huang, 1991",740,,,
1460,Complex,Mg2RuH6,3.9,,,,,"Kritikos, 1991",745,[RuH6]4-,,
1463,Complex,Mg3RuH6,3.4,,,,,"Bronger, 1993",773,[RuH5]5-,,
1467,Complex,Mg6Ir2H11,2,,,,,"Cerny, 2002",1461,"[IrH4]5-, [IrH5]4-",,
1469,Complex,Na1.5Li1.5AlH6,3.2,,,,,"Zaluski, 1999",1427,,Measured H-content,
1474,Complex,Na2PdH2,1.3,,,,,"Noreus, 1989",331,[PdH2]2-,,
1475,Complex,Na2PdH2,1.3,,,,,"Bronger, 1995",751,[PdH2]2-,,
1476,Complex,Na2PdH4,2.6,,,,,"Bronger, 1995",769,[PdH4]2-,,
1477,Complex,Na2PtH4,1.6,,,,,"Bronger, 1988",760,[PtH4]2-,,
1478,Complex,Na2PtH6,2.4,,,,,"Bronger, 1995",764,[PtH6]2-,,
1489,Complex,Na3AlH6,5.9,,,,,"Ronnebro, 2000",1448,[AlH6]3-,Stoichiometric H-content,
1490,Complex,Na3IrH6,2.3,,,,,"Bronger, 1991",774,[IrH6]3-,,
1491,Complex,Na3OsH7,2.6,,,,,"Bronger, 2002",1455,,,
1492,Complex,Na3RhH6,3.4,,,,,"Bronger, 1991",774,[RhH6]3-,,
1493,Complex,Na3RUH7,4,,,,,"Bronger, 2002",1455,,,
1494,Complex,Na4RuH6,3,,,,,"Kritikos, 1991",744,[RuH6]4-,,
1496,Complex,NaAlH4,2.2,,,,,"Sandrock, 2002",1439,[AlH4]-,Measured H-contents,0-9% Ti Catalyzed
1497,Complex,NaAlH4,2.2,,,,,"Gross, 2001",1442,[AlH4]-,Measured H-contents,0-9% Ti Catalyzed
1498,Complex,NaAlH4,3.1,,,,,"Sandrock, 2002",1435,[AlH4]-,Measured H-contents,2% Ti Catalyzed
1499,Complex,NaAlH4,3.2,,,,,"Zaluska, 2001",1434,[AlH4]-,Measured H-content,Catalyzed
1500,Complex,NaAlH4,3,,,,,"Zidan, 1999",1426,[AlH4]-,Measured H-contents,Ti- and Zr-doped
1501,Complex,NaAlH4,4,,,,,"Bogdanovic’, 2001",1433,[AlH4]-,Measured H-content,"Direct synthesis from NaH and Al, Ti-doped"
1505,Complex,NaAlH4,4.8,,,,,"Jensen, 1999",1425,[AlH4]-,Measured H-contents,1-4% Ti-doping
1506,Complex,NaAlH4,4.9,,,,,"Zaluski, 1999",1427,[AlH4]-,"Measured H-content, heated to 220C",
1507,Complex,NaAlH4,5,,,,,"Jensen, 2001",1441,[AlH4]-,Measured H-contents,2% Ti doped
1513,Complex,NaBH4,10.7,,,,,"Sullivan, 1980",721,,,
1515,Complex,NaBH4,10.7,,,,,"Abrahams, 1954",804,[BH4]-,,
1517,Complex,NaMgH3,6,,,,,"Ronnebro, 2000",1448,,,
1518,Complex,NaPd3H2,0.6,,,,,"Kadir, 1993",746,[PdH2],,
1520,Complex,Rb2CaH4,1.9,,,,,"Bertheville, 2001",1452,,,
1521,Complex,Rb2PdH4,2.1,,,,,"Bronger, 1992",768,[PdH4]2-,,
1522,Complex,Rb2PtH4,1.1,,,,,"Bronger, 1988",760,[PtH4]2-,,
1523,Complex,Rb2PtH6,1.6,,,,,"Bronger, 1995",762,[PtH6]2-,,
1525,Complex,Rb3MnH5,1.6,,,,,"Bronger, 1997",834,,,
1526,Complex,Rb3OsH9,2,,,,,"Bronger, 2002",1455,,,
1527,Complex,Rb3PdH5,1.4,,,,,"Bronger, 1992",767,[PdH4]2-,,
1528,Complex,Rb3PtH5,1.1,,,,,"Bronger, 1988",761,[PtH4]2-,,
1530,Complex,RbBH4,4,,,,,"Abrahams, 1954",804,[BH4]-,,
1531,Complex,RbMgH3,2.7,,,,,"Gingl, 1999",1446,,,
1535,Complex,Sr1-xBaxAl2,0.9,,,,,"Zhang, 2002",1459,x=0-0.5,Multiple hydride phases,
1536,Complex,Sr2FeH6,2.6,,,,,"Huang, 1991",740,[FeH6]4-,,
1537,Complex,Sr2IrH4,1.1,,,,,"Moyer, 1969",775,,,
1539,Complex,Sr2Mg3H10,3.9,,,,,"Gingl, 1994",750,,,
1540,Complex,Sr2MgH6,2.9,,,,,"Bertheville, 1999",1447,,,
1541,Complex,Sr2OsH6,1.6,,,,,"Kritikos, 1991",745,[OsH6]4-,,
1542,Complex,Sr2PtH6,1.6,,,,,"Kadir, 1993",747,[PtH4]2-,,
1543,Complex,Sr2RhH5,1.8,,,,,"Bronger, 1994",772,,,
1546,Complex,Sr2RuH6,2.1,,,,,"Hagemann, 2002",1454,[RuH6]4-,,
1547,Complex,Sr2-xEuxIrH5,1,,,,,"Moyer, 1996",782,(x=0-2),,
1548,Complex,Sr2-xEuxRuH5,1.2,,,,,"Moyer, 1996",782,(x=0-2),,
1549,Complex,Sr2-xEuxRuH6,1.5,,,,,"Lindsay, 1993",781,(x=0-2),,
1550,Complex,Sr8Rh5H23,1.9,,,,,"Bronger, 1994",772,[RhH6],,
1551,Complex,SrAl2H2,1.4,,,,,"Gingl, 2000",1449,,,
1553,Complex,SrPdH2.7,1.4,,,,,"Bronger, 1994",771,,,
1556,Complex,Ti(BH4)3,13.1,,,,,"Hoekstra, 1949",800,[BH4]-,,
1558,Complex,TlBH4,1.8,,,,,"Waddington, 1958",797,[BH4]-,,
1561,Complex,Yb2RuH6,1.3,,,,,"Lindsay, 1976",779,,,
1566,Complex,Zr(BH4)4,10.7,,,,,"Sullivan, 1980",721,,,
1567,Complex,Zr(BH4)4,10.7,,,,,"Mackay, 1966",754,[BH4]-,,
1568,Complex,Ca2IrH5,1.8,,,,,"Moyer, 1971",776,,,
1569,Complex,Ca2OsH6,2.2,,,,,"Huang, 1991",740,[OsH6]4-,,
1570,Complex,Ca2OsH6,3.2,,,,,"Kritikos, 1991",745,[OsH6]4-,,
1572,Complex,Ca2RuH6,3.2,,,,,"Hagemann, 2002",1454,[RuH6]4-,,
1573,Complex,Ca2RuH6,3.2,,,,,"Moyer, 1971",776,,,
1574,Complex,Ca2-xEuxIrH5,1,,,,,"Moyer, 1996",782,(x=0-2),,
1575,Complex,Ca2-xEuxRuH6,1.5,,,,,"Moyer, 1989",780,(x=0-2),,
1578,Complex,CaAg2H,0.4,,,,,"Mendelsohn, 1975",778,,,
1580,Complex,CaPdH2,1.4,,,,,"Bronger, 1990",766,[PdH2]2-,,
1583,Complex,Co(BH4)2,9.1,,,,,"Monnier, 1957",791,[BH4]-,,
1584,Complex,Cs2MgH4,1.4,,,,,"Bertheville, 2002",1453,,,
1585,Complex,Cs2PdH4,1.1,,,,,"Bronger, 1992",768,[PdH4]2-,,
1586,Complex,Cs2PtH4,0.9,,,,,"Bronger, 1988",760,[PtH4]2-,,
1587,Complex,Cs2PtH6,1.3,,,,,"Bronger, 1995",762,[PtH6]2-,,
1589,Complex,Cs3MnH5,1.1,,,,,"Bronger, 1997",834,,,
1590,Complex,Cs3OsH9,1.5,,,,,"Bronger, 2002",1455,,,
1591,Complex,Cs3PdH5,1,,,,,"Bronger, 1992",767,[PdH4]2-,,
1592,Complex,Cs3PtH5,0.8,,,,,"Bronger, 1988",761,[PtH4]2-,,
1594,Complex,Cs4Mg3H10,1.6,,,,,"Bertheville, 2002",1453,,,
1596,Complex,CsBH4,2.7,,,,,"Abrahams, 1954",804,[BH4]-,,
1597,Complex,CsCaH3,1.7,,,,,"Gingl, 1999",1446,,,
1598,Complex,CsMgH3,1.9,,,,,"Bertheville, 2002",1453,,,
1601,Complex,Eu2FeH6,1.7,,,,,"Huang, 1991",740,[FeH6]4-,,
1602,Complex,Eu2IrH5,1,,,,,"Moyer, 1980",457,,,
1603,Complex,Eu2Mg3H10,2.6,,,,,"Kohlmann, 2001",1451,,,
1604,Complex,Eu2MgH6,1.8,,,,,"Kohlmann, 2001",1451,,,
1606,Complex,Eu2RuH6,1.5,,,,,"Hagemann, 2002",1454,[RuH6]4-,,
1607,Complex,Eu6Mg7H26,2.4,,,,,"Kohlmann, 2001",1451,,,
1611,Complex,Hf(BH4)4,6.8,,,,,"Hoekstra, 1949",800,[BH4]-,,
1613,Complex,K2MgH4,3.8,,,,,"Bertheville, 2001",1452,,,
1614,Complex,K2PdH4,2.1,,,,,"Bronger, 1995",751,[PdH2]2-,,
1615,Complex,K2PtH4,1.5,,,,,"Bronger, 1986",759,[PtH4]2-,,
1616,Complex,K2PtH6,2.2,,,,,"Bronger, 1995",751,[PtH6]4-,,
1618,Complex,K3MnH5,2.8,,,,,"Bronger, 1997",834,,,
1619,Complex,K3PdH3,1.3,,,,,"Bronger, 1990",765,[PdH2]2-,,
1620,Complex,K3PdH5,2.1,,,,,"Bronger, 1992",767,[PdH2]2-,,
1621,Complex,K3PtH5,1.6,,,,,"Bronger, 1988",761,[PtH4]2-,,
1624,Complex,KBH4,7.5,,,,,"Sullivan, 1980",721,[BH4]-,,
1626,Complex,KBH4,7.5,,,,,"Abrahams, 1954",804,[BH4]-,,
1631,Complex,Li2PdH2,0.9,,,,,"Bronger, 1995",751,[PdH2]2-,,
1632,Complex,Li3AlH6,2.1,,,,,"Balema, 2000",1428,[AlH6]3-,Measured H-content,Ti-catalyzed
1635,Complex,Li3IrH6,2.8,,,,,"Bronger, 1991",774,[IrH6]3-,,
1636,Complex,Li3RhH4,3.2,,,,,"Bronger, 1991",770,[RhH4]3-,,
1637,Complex,Li3RhH6,4.7,,,,,"Bronger, 1995",751,[RhH6]3-,,
1638,Complex,Li4OsH6,2.7,,,,,"Kritikos, 1991",744,[OsH6]4-,,
1639,Complex,Li4RuH6,4.5,,,,,"Kritikos, 1991",744,[RuH6]4-,,
1640,Complex,LiAlH4,7,,,,,"Zaluski, 1999",1427,[AlH4]-,"Measured H-content, heated to 200C",
1644,Complex,LiAlH4,10.6,,,,,"Wiberg, 1951",785,[AlH4]-,"Catalyzed by Ti, Si, Fe, Cu, Al, B",
1646,Complex,LiBH4,18.5,,,,,"Sullivan, 1980",721,[BH4]-,,
1648,Complex,LiBH4,18.5,,,,,"Schleshinger, 1953",805,[BH4]-,,
1653,Complex,Mg(AlH4)2,9.3,,,,,"Wiberg, 1950",786,[AlH4]-,,
1657,Mg,Mg-5Ag,5.3,,,,,"Douglass, 1978",89,,,
1659,Mg,Mg-5Al-5Y,5,,,,,"Douglass, 1978",89,,,
1660,Mg,Mg-5Bi,2,,,,,"Douglass, 1978",89,,,
1661,Mg,Mg-5Ca,4.9,,,,,"Douglass, 1978",89,,,
1662,Mg,Mg-5Co,2,,,,,"Douglass, 1978",89,,,
1663,Mg,Mg-5Co,5.3,,,,,"Ivanov, 1987",708,(Mechanical alloy),,
1664,Mg,Mg-5Cu,4,,,,,"Guinet, 1978",701,,,
1665,Mg,Mg-5Fe,5.2,,,,,"Ivanov, 1987",708,(Mechanical alloy),,
1666,Mg,Mg-5Mn,6,,,,,"Douglass, 1978",89,,,
1667,Mg,Mg-5Nb,5.3,,,,,"Ivanov, 1987",708,(Mechanical alloy),,
1669,Mg,Mg-5Ni,5.3,,,,,"Ivanov, 1987",708,(Mechanical alloy),,
1671,Mg,Mg-5Ni-5Y,5.2,,,,,"Douglass, 1978",89,,,
1672,Mg,Mg-5Sb,2.4,,,,,"Douglass, 1978",89,,,
1673,Mg,Mg-5Si,3.5,,,,,"Douglass, 1978",89,,,
1674,Mg,Mg-5Sn,5,,,,,"Douglass, 1978",89,,,
1675,Mg,Mg-5Ti,4.4,,,,,"Ivanov, 1987",708,(Mechanical alloy),,
1676,Mg,Mg-5Ti-10V-10Fe,6.2,,,,,"Khrussanova, 2001",1490,,Ball milled,
1680,Mg,Mg-5Y,7,,,,,"Douglass, 1978",89,,,
1681,Mg,Mg6Al7Cu,0.8,,,,,"Reilly, 1974",491,,,
